date,sym,prc,vol,bid,ask
1992.01.02,GFGC,14.5,100,14.5,15.25
1992.01.03,GFGC,14.5,498,14.5,15.25
1992.01.06,GFGC,14.5,100,14.5,15.25
1992.01.07,GFGC,14.5,417,14.5,15.25
1992.01.08,GFGC,15.125,500,14.5,15.25
1992.01.09,GFGC,14.5,1200,14.5,15.25
1992.01.10,GFGC,14.5,150,14.5,15.25
1992.01.13,GFGC,14.5,1200,14.5,15.25
1992.01.14,GFGC,14.5,800,14.5,15.25
1992.01.15,GFGC,15,1200,14.25,15
1992.01.16,GFGC,14.25,200,14.25,15
1992.01.17,GFGC,15,2425,14.25,15
1992.01.20,GFGC,14.75,3100,14.25,15
1992.01.21,GFGC,14.25,1000,14.25,15
1992.01.22,GFGC,14.75,2690,14.25,14.75
1992.01.23,GFGC,14,3035,14,14.5
1992.01.24,GFGC,14,1450,13.75,14.5
1992.01.28,GFGC,14.5,500,13.75,14.5
1992.01.29,GFGC,14.5,100,13.75,14.5
1992.01.30,GFGC,13.75,200,13.75,14.5
1992.01.31,GFGC,13.75,200,13.75,14.5
1992.02.03,GFGC,13.75,1000,13.75,14.5
1992.02.04,GFGC,13.75,1500,13.75,14.5
1992.02.07,GFGC,13.75,1000,13.75,14.5
1992.02.10,GFGC,13.75,500,13.75,14.5
1992.02.11,GFGC,13.75,200,13.75,14.25
1992.02.12,GFGC,12.75,14970,12.5,13.25
1992.02.13,GFGC,12.25,1940,12.25,13.25
1992.02.14,GFGC,12.25,2500,12,13
1992.02.18,GFGC,12,900,12,13
1992.02.19,GFGC,11.5,9300,11.25,12
1992.02.20,GFGC,11.25,1425,11.25,12
1992.02.21,GFGC,11.25,1200,11.375,12
1992.02.24,GFGC,11.375,168,11.375,12
1992.02.25,GFGC,11.75,2400,11,11.75
1992.02.26,GFGC,11,1341,11,11.75
1992.02.27,GFGC,11,100,11,11.75
1992.02.28,GFGC,11,105,11,11.75
1992.03.02,GFGC,11.75,550,11,11.75
1992.03.03,GFGC,11,1100,11,11.75
1992.03.04,GFGC,11.75,800,11.25,11.75
1992.03.05,GFGC,11.25,100,11.25,11.75
1992.03.06,GFGC,11.75,400,11.25,11.75
1992.03.10,GFGC,12,3830,11.5,12
1992.03.11,GFGC,12.25,8500,11.5,12.25
1992.03.12,GFGC,12.25,200,11.5,12.25
1992.03.16,GFGC,12.25,1738,11.5,12.25
1992.03.18,GFGC,11.5,100,11.5,12.25
1992.03.19,GFGC,11.5,2731,11.75,12
1992.03.20,GFGC,11.75,6267,11.75,12.25
1992.03.23,GFGC,11.75,400,11.75,12.25
1992.03.24,GFGC,12.25,150,11.75,12.25
1992.03.25,GFGC,12.25,625,11.75,12.25
1992.03.27,GFGC,12,300,11.75,12.25
1992.03.31,GFGC,11.75,400,11.75,12.25
1992.04.02,GFGC,12,500,11.5,12
1992.04.03,GFGC,12,300,11.5,12
1992.04.06,GFGC,12,300,11.5,12
1992.04.09,GFGC,11.5,170,11.5,12
1992.04.10,GFGC,12,200,11.5,12
1992.04.13,GFGC,12,1300,11.5,12
1992.04.14,GFGC,11.75,500,11.5,12
1992.04.16,GFGC,11.5,4645,11.5,12
